,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,,,,,,,,
2,,,,,,R,R,W,W,W,W,W,W,W,W,W,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,W,W,W,W,W,W,W,W,W
3,,,,,,R,R,W,P,P,P,P,P,P,P,P,P,L,L,L,P,L,L,L,L,L,L,L,L,L,L,L,L,L,P,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,P,P,P,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,P,L,L,L,L,L,L,L,L,L,L,L,L,L,P,L,L,L,P,P,P,P,P,P,P,P,P,W
4,,,,,,R,R,W,P,L,L,L,L,L,L,L,L,L,L,L,P,L,L,L,L,L,L,L,L,L,L,L,L,L,P,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,P,P,P,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,P,L,L,L,L,L,L,L,L,L,L,L,L,L,P,L,L,L,L,L,L,L,L,L,L,L,P,W
5,,,,,,R,R,W,P,L,L,L,L,L,L,L,L,L,L,L,P,L,L,L,L,L,L,L,L,L,L,L,L,L,P,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,P,P,P,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,P,L,L,L,L,L,L,L,L,L,L,L,L,L,P,L,L,L,L,L,L,L,L,L,L,L,P,W
6,,,,,,R,R,W,P,L,L,L,L,L,L,L,L,L,L,L,P,L,L,L,L,L,L,L,L,L,L,L,L,L,P,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,P,P,P,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,P,L,L,L,L,L,L,L,L,L,L,L,L,L,P,L,L,L,L,L,L,L,L,L,L,L,P,W
7,,,,,,R,R,W,P,L,L,L,L,L,L,L,L,L,L,L,P,L,L,L,L,L,L,L,L,L,L,L,L,L,P,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,P,P,P,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,P,L,L,L,L,L,L,L,L,L,L,L,L,L,P,L,L,L,L,L,L,L,L,L,L,L,P,W
8,,,,,,R,R,W,P,L,L,L,L,L,L,L,L,L,L,L,P,L,L,L,L,L,L,L,L,L,L,L,L,L,P,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,P,P,P,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,P,L,L,L,L,L,L,L,L,L,L,L,L,L,P,L,L,L,L,L,L,L,L,L,L,L,P,W
9,,,,,,R,R,W,P,L,L,L,L,L,L,L,L,L,L,L,P,L,L,L,L,L,L,L,L,L,L,L,L,L,P,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,P,P,P,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,P,L,L,L,L,L,L,L,L,L,L,L,L,L,P,L,L,L,L,L,L,L,L,L,L,L,P,W
10,,59,59,59,59,R,R,W,P,L,L,L,L,L,L,L,L,L,L,L,P,L,L,L,L,L,L,L,L,L,L,L,L,L,P,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,P,P,P,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,P,L,L,L,L,L,L,L,L,L,L,L,L,L,P,L,L,L,L,L,L,L,L,L,L,L,P,W
11,,59,59,59,59,R,R,W,P,L,L,L,L,L,L,L,L,L,L,L,P,L,L,L,L,L,L,L,L,L,L,L,L,L,P,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,P,P,P,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,P,L,L,L,L,L,L,L,L,L,L,L,L,L,P,L,L,L,L,L,L,L,L,L,L,L,P,W
12,,59,59,59,59,R,R,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,W
13,,59,59,59,59,R,R,W,P,L,L,L,L,L,L,L,L,L,L,L,P,L,L,L,L,L,L,L,L,L,L,L,L,L,P,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,P,P,P,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,P,L,L,L,L,L,L,L,L,L,L,L,L,L,P,L,L,L,L,L,L,L,L,L,L,L,P,W
14,52,52,52,52,52,R,R,W,P,L,L,L,L,L,L,L,L,L,L,L,P,L,L,L,L,L,L,L,L,L,L,L,L,L,P,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,P,P,P,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,P,L,L,L,L,L,L,L,L,L,L,L,L,L,P,L,L,L,L,L,L,L,L,L,L,L,P,W
15,52,52,52,52,52,R,R,W,P,L,L,L,L,L,L,L,L,L,L,L,P,L,L,L,L,L,L,L,L,L,L,L,L,L,P,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,P,P,P,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,P,L,L,L,L,L,L,L,L,L,L,L,L,L,P,L,L,L,L,L,L,L,L,L,L,L,P,W
16,52,52,52,52,52,R,R,W,P,L,L,L,L,L,L,L,L,L,L,L,P,L,L,L,L,L,L,L,L,L,L,L,L,L,P,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,P,P,P,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,P,L,L,L,L,L,L,L,L,L,L,L,L,L,P,L,L,L,L,L,L,L,L,L,L,L,P,W
17,52,52,52,52,52,R,R,W,P,L,L,L,L,L,L,L,L,L,L,L,P,L,L,L,L,L,L,L,L,L,L,L,L,L,P,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,P,P,P,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,P,L,L,L,L,L,L,L,L,L,L,L,L,L,P,L,L,L,L,L,L,L,L,L,L,L,P,W
18,52,52,52,52,52,R,R,W,P,L,L,L,L,L,L,L,L,L,L,L,P,L,L,L,L,L,L,L,L,L,L,L,L,L,P,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,P,P,P,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,P,L,L,L,L,L,L,L,L,L,L,L,L,L,P,L,L,L,L,L,L,L,L,L,L,L,P,W
19,52,52,52,52,52,R,R,W,P,L,L,L,L,L,L,L,L,L,L,L,P,L,L,L,L,L,L,L,L,L,L,L,L,L,P,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,P,P,P,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,P,L,L,L,L,L,L,L,L,L,L,L,L,L,P,L,L,L,L,L,L,L,L,L,L,L,P,W
20,52,52,52,52,52,R,R,W,P,L,L,L,L,L,L,L,L,L,L,L,P,L,L,L,L,L,L,L,L,L,L,L,L,L,P,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,P,P,P,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,P,L,L,L,L,L,L,L,L,L,L,L,L,L,P,L,L,L,L,L,L,L,L,L,L,L,P,W
21,52,52,52,52,52,R,R,W,P,L,L,L,L,L,L,L,L,L,L,L,P,L,L,L,L,L,L,L,L,L,L,L,L,L,P,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,P,P,P,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,P,L,L,L,L,L,L,L,L,L,L,L,L,L,P,L,L,L,L,L,L,L,L,L,L,L,P,W
22,52,52,52,52,52,R,R,W,P,L,L,L,L,L,L,L,L,L,L,L,P,L,L,L,L,L,L,L,L,L,L,L,L,L,P,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,P,P,P,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,P,L,L,L,L,L,L,L,L,L,L,L,L,L,P,L,L,L,L,L,L,L,L,L,L,L,P,W
23,52,52,52,52,52,R,R,W,P,L,L,L,L,L,L,L,L,L,L,L,P,L,L,L,L,L,L,L,L,L,L,L,L,L,P,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,P,P,P,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,P,L,L,L,L,L,L,L,L,L,L,L,L,L,P,L,L,L,L,L,L,L,L,L,L,L,P,W
24,52,52,52,52,52,R,R,W,P,L,L,L,L,L,L,L,L,L,L,L,P,L,L,L,L,L,L,L,L,L,L,L,L,L,P,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,P,P,P,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,P,L,L,L,L,L,L,L,L,L,L,L,L,L,P,L,L,L,L,L,L,L,L,L,L,L,P,W
